scheme,len
[2],67
[4],31
[1],18
[7],5
[8],3
[3],3
"[4,4]",2
"[2,4]",2
"[7,7,2,10,7,1,4]",1
"[3,8,9,7,9,8,1,8,5,10,8,5,7,1,5,1,7,1,1,7,8,7,4,10,10,2,1,7]",1
"[7,9,9,9,8,7,9,8,8,9,10,8,8,10]",1
"[9,4,1,8,4,8,2]",1
"[2,10,1,4,2,4,2]",1
"[7,1,9,8,5,5,5,9,4]",1
[9],1
"[3,8,8,1,8,5,5,3,8,1,10,9,7,1,1,9,4]",1
"[2,3,8,8,7,1,1,1,1,10,1,1,8,7,9,10,7,1,7,10,1,4]",1
"[2,3,4,1,1,3,1,9,7,3,1,1,1,10,1,7,9,7,7,8,8,7,1,1,9,3,7,10,4,3,8,4,7,2,4]",1
"[2,3,1,1,1,4]",1
"[8,1,4,3,4,2,7,1,1,7,7,7,1,10,9,10,10,7]",1
"[7,7,7,5,4]",1
"[8,9]",1
"[5,5,3,1,1,7,3,7,1,3,1,1,4]",1
"[4,1,3,10,3,9,9,1,2,4,8,1,1]",1
"[4,7,4]",1
"[2,2]",1
"[9,1,4,8,1,10,7,10,7,1,1,10,1,7,8,10,8,7,1,1,2,10,8,3,9,5,4,3,1,5,10,4]",1
"[4,2,1,1,9,7,1,7,9,1,7,10,7,1,9,2,1,1,1,1,9,4,8,3,7,1,7,4,3,4,3,2,1,4]",1
"[9,5,8,3,1,1,7,5,4]",1
"[2,7,3,1,8,9,9,7,5,9,7,1,10,7,8,1,10,10,1,1,9,7,9,10,7,4]",1
"[8,4,9]",1
"[10,3,8,7,10,2,7]",1
"[2,8]",1
"[2,4,8]",1
"[7,9,8]",1
"[10,10,10,5,8,3,7,4,2,3,5,8,2,10,1,7,10,4]",1
"[3,9,2,3,5,2,8,10,3,5,10,3,1,8,7,7,1,7,7,8,8,7,9,1,4,9,4,3,4]",1
"[7,5,7,1,4,10,2,9,10,8]",1
"[10,2,8,7,4,1,8,7,9,3,4]",1
"[5,5,8,8,3,2,7,3]",1
"[2,10]",1
"[4,2,4,4,8,7,3,7,4,2,8,7,3,5,1,7,8,7,4]",1
"[2,4,7]",1
"[3,1,10,1,9,4,5,3,7,9,7,9,10,5,2,2,7]",1
"[7,2,10,10,9,9,10,1]",1
"[3,8,7,1,1,10,8,4]",1
"[4,7,1,10,9,1,10,1]",1
"[4,7,8,1,5,1,1,7,8,9,7,8,10,7,10,1,3,2,2,3,5,4,3,8,7,4]",1
"[2,4,4,7,1,4,8,5,2,5,4,7,5,3,1,7,8,3,4]",1
"[2,8,7,4,7,7,10,4,2,9,10,7]",1
"[8,10,3,4]",1
